id;town;street;house
651;г. Соболево; наб. Павлика Морозова;239
652;клх Октябрьское (Хант.); пер. Выгонный;39
653;к. Пинега; ш. 50 лет Победы;166
654;ст. Улан-Удэ; пр. Энергетиков;180
655;ст. Адыгейск; алл. Производственная;56
656;к. Пушкин; пр. Виноградный;15
657;г. Троицк (Моск.); пер. Авиационный;293
658;с. Новый Уренгой; алл. Герцена;104
659;к. Усть-Камчатск; пр. Дальний;141
660;д. Сызрань; ул. Омская;158
661;г. Ижевск; ул. Курская;399
662;клх Томск; наб. Майская;317
663;д. Игарка; алл. Виноградная;15
664;с. Джубга; бул. Лунный;236
665;г. Витим; пр. Правды;310
666;п. Оймякон; ш. Мельничное;137
667;клх Шереметьево; пер. Кооперативный;34
668;клх Карпинск; алл. Победа;380
669;к. Амурск; ул. Радужная;367
670;ст. Нальчик; ул. Механизаторов;243
671;г. Шатки; ш. Выгонное;294
672;ст. Ухта; ш. Ветеранов;312
673;п. Кингисепп; наб. Правды;136
674;с. Ершов; пр. Революционный;48
675;д. Печенга; ш. Стахановское;334
676;с. Аргаяш; ул. Степная;372
677;д. Боровск; пер. Сибирский;125
678;с. Катайск; алл. Куйбышева;390
679;клх Ессентуки; ул. Минина;390
680;клх Лагань; алл. Западная;225
681;ст. Златоуст; наб. Рябиновая;399
682;к. Кежма; пр. Овражный;346
683;к. Мостовской; ш. Фрунзе;105
684;к. Бодайбо; алл. Фрунзе;143
685;клх Завьялиха; алл. Малиновая;82
686;п. Горячинск; пр. Восточный;319
687;ст. Меренга; ш. Дальнее;369
688;клх Югорск; наб. Харьковская;24
689;с. Старый Оскол; наб. Кирова;225
690;г. Валдай; ш. Пугачева;217
691;клх Анива; алл. Маркса;361
692;к. Мичуринск; наб. Народная;317
693;клх Рыльск; бул. Гражданский;8
694;к. Меренга; ш. Льва Толстого;377
695;д. Катайск; наб. Клубная;108
696;ст. Котлас; бул. Уральский;33
697;п. Соликамск; пр. Томский;359
698;п. Батайск; бул. Геологов;82
699;к. Углич; алл. Магистральная;298
700;п. Оха; алл. Дружба;97
701;ст. Воскресенск; бул. Привольный;379
702;к. Черусти; наб. Кутузова;147
703;к. Лодейное Поле; наб. Ольховая;375
704;с. Лодейное Поле; наб. Заливная;342
705;д. Бугуруслан; ул. Химиков;187
706;п. Вендинга; бул. Полевой;267
707;д. Невьянск; бул. Крестьянский;7
708;клх Мценск; бул. Щербакова;354
709;клх Руза; пр. Дзержинского;347
710;г. Сухиничи; пр. Фадеева;292
711;п. Ханты-Мансийск; ул. 40 лет Октября;388
712;г. Партизанск; ул. Деповская;101
713;д. Макушино; пер. Папанина;361
714;п. Якша; алл. Чайкиной;374
715;ст. Таштагол; ул. Почтовая;75
716;д. Кизилюрт; бул. Краснознаменный;91
717;с. Южно-Сахалинск; пер. Николаева;15
718;с. Медногорск; ш. Звездное;140
719;д. Чокурдах; бул. Прохладный;378
720;клх Череповец; ул. Ленская;31
721;к. Талдом; пр. Одесский;51
722;к. Кыштым; пер. Березовый;274
723;с. Токсово; ул. Кочубея;270
724;п. Клин; ул. Победа;397
725;ст. Озеры; бул. Полярный;51
726;п. Петропавловск-Камчатский; наб. Кирпичная;120
727;п. Мезень; наб. Астраханская;67
728;п. Тында; алл. Рязанская;31
729;клх Снежногорск (Мурм.); алл. Гвардейская;191
730;д. Липецк; алл. Ангарская;325
731;г. Малая Вишера; ул. Главная;120
732;клх Хужир; бул. Средний;351
733;ст. Канск; наб. Ленина;324
734;с. Бреды; алл. Сенная;156
735;г. Комсомольск-на-Амуре; пр. Максима Горького;24
736;д. Салехард; ул. М.Горького;391
737;с. Ясный (Оренб.); пр. Кедровый;217
738;к. Лотошино; пр. Минина;294
739;г. Воркута; пер. Центральный;327
740;п. Белокуриха; алл. Циолковского;125
741;д. Приозерск; ш. Павлика Морозова;226
742;к. Ульяновск; алл. Запрудная;113
743;к. Красная Поляна; ш. Физкультурное;292
744;д. Билибино; наб. Белинского;316
745;д. Дивногорск; ш. Астраханское;17
746;с. Оленек; наб. Интернациональная;24
747;с. Губкинский; алл. Леваневского;393
748;г. Нефедова; пер. 8-е Марта;322
749;к. Мурманск; алл. Клубная;310
750;к. Североморск; пр. Санаторный;268
751;г. Черусти; пер. Коммунальный;302
752;п. Тайшет; пр. Строительный;69
753;клх Муром; ш. Садовое;103
754;клх Бреды; ш. Тупиковое;189
755;клх Североморск; ш. Розы Люксембург;274
756;с. Тольятти; бул. Верхний;266
757;ст. Невинномысск; ш. Гагарина;149
758;к. Сунтар; пр. Петровский;26
759;клх Югорск; бул. Клары Цеткин;348
760;п. Кириши; алл. Малая;82
761;п. Хоста; ш. Заозерное;158
762;к. Осташков; алл. Омская;352
763;с. Дагомыс; ул. Мелиораторов;50
764;клх Асино; бул. Бригадный;47
765;с. Нарьян-Мар; наб. 50 лет Победы;182
766;клх Середниково; алл. Гагарина;312
767;г. Тюмень; ул. Орловская;118
768;г. Катав-Ивановск; наб. Ветеранов;137
769;к. Орел; алл. Ореховая;125
770;п. Челябинск; наб. Кедровая;333
771;к. Заводоуковск; пер. Ушакова;249
772;ст. Подольск; пр. Металлистов;61
773;д. Макушино; ш. Новое;42
774;к. Кудымкар; наб. Партизанская;224
775;д. Усть-Катав; алл. Советов;335
776;клх Звенигород; бул. Мусы Джалиля;195
777;д. Павловская; ш. Бабушкина;228
778;ст. Новая Игирма; пер. Ворошилова;120
779;п. Асино; наб. Новосельская;161
780;клх Ижевск; пер. Пограничный;121
781;клх Быково (метеост.); пер. К.Маркса;151
782;с. Шуя; ул. Толбухина;167
783;д. Усолье Сибирское; бул. Вахитова;392
784;к. Сузун; ул. Ярославская;42
785;клх Курильск; наб. Народная;136
786;к. Красноуральск; ш. Дальневосточное;71
787;п. Октябрьское (Хант.); пер. Войкова;87
788;п. Торжок; алл. Дарвина;124
789;клх Вуктыл; бул. Базарный;191
790;г. Лотошино; бул. Ильича;340
791;клх Верхоянск; наб. Проезжая;367
792;клх Шумиха; пер. Механический;89
793;д. Цимлянск; бул. Каштановый;222
794;клх Кашхатау; бул. Проточный;285
795;п. Казань; пр. Черемушки;269
796;ст. Игнашино; алл. К.Маркса;20
797;п. Шилка; наб. Береговая;339
798;г. Анадырь; алл. Свободная;399
799;ст. Пятигорск; наб. Халтурина;363
800;г. Льгов; наб. Льва Толстого;65
801;клх Ребриха; алл. Гоголя;299
802;к. Кашхатау; ш. Войкова;183
803;г. Калининград; алл. Нефтяников;169
804;д. Нарьян-Мар; пер. Балтийский;274
805;д. Усинск; пер. Рабочий;36
806;клх Краснодар; ул. Черемуховая;344
807;клх Галич; наб. Озерная;226
808;п. Камень-на-Оби; ш. Карла Маркса;287
809;г. Мурманск; пр. Белинского;270
810;с. Рязань; пр. Невского;181
811;ст. Сергиев Посад; алл. Гастелло;356
812;г. Гусь-Хрустальный; наб. Димитрова;192
813;с. Хабаровск; бул. Кочубея;220
814;клх Ведено; алл. М.Горького;219
815;к. Джубга; наб. Кутузова;64
816;с. Александровск; ш. Достоевского;306
817;п. Заводоуковск; ш. Славянское;376
818;клх Чебаркуль; бул. Главный;255
819;д. Усть-Илимск; пр. Пожарского;257
820;клх Ейск; наб. Энтузиастов;46
821;к. Сортавала; ш. Индустриальное;87
822;с. Ямбург; пер. Ольховый;90
823;п. Шамары; пр. Матросова;250
824;к. Лесной (Сверд.); пер. 50 лет Октября;175
825;ст. Бугульма; ш. Омское;132
826;д. Ногинск (Моск.); пер. Мостовой;136
827;д. Чусовой; наб. Крайняя;107
828;д. Инта; ш. Индустриальное;134
829;к. Шумиха; наб. Войкова;123
830;с. Нижний Тагил; ш. Смоленское;125
831;г. Ербогачен; бул. Песчаный;176
832;ст. Бирск; ш. Седова;333
833;п. Ханты-Мансийск; пр. К.Маркса;368
834;д. Златоуст; алл. Клубная;282
835;с. Богучар; наб. Интернациональная;161
836;д. Саров (Морд.); пер. Заводской;122
837;д. Усть-Кут; пер. Гафури;287
838;клх Можга; наб. Чехова;39
839;с. Томск; ул. Вавилова;210
840;клх Тюмень; пр. Светлый;36
841;ст. Данков; пер. Воровского;241
842;с. Новосибирск; наб. Безымянная;354
843;п. Чикола; пер. Подлесный;377
844;п. Белгород; ш. Ручейное;242
845;клх Карабудахкент; бул. Монтажников;259
846;к. Тобольск; пр. Воронежский;388
847;п. Игнашино; наб. Лесозаводская;340
848;ст. Алагир; ш. Минское;32
849;с. Юровск; алл. Омская;352
850;ст. Шелехов; бул. Щетинкина;272
851;п. Кузнецк; пр. Маяковского;230
852;клх Вуктыл; ш. Фадеева;125
853;с. Тырныауз; ш. Некрасова;288
854;с. Пинега; алл. Приморская;265
855;г. Богучар; бул. Станиславского;132
856;п. Краснотурьинск; ш. Вокзальное;104
857;д. Арсеньев; алл. К.Маркса;395
858;ст. Ростов-на-Дону; бул. Котовского;350
859;к. Верхний Уфалей; ш. Демьяна Бедного;275
860;к. Верхоянск; пр. Астраханский;68
861;г. Холмогоры; ул. Павлова;294
862;г. Тольятти; ш. Новоселов;141
863;клх Лазаревское; наб. Герцена;80
864;д. Ростов; ш. Мая 1;129
865;г. Ельня; алл. Юбилейная;312
866;ст. Тюмень; наб. Городская;159
867;д. Красноярск; пр. Свободы;83
868;с. Объячево; пр. Севастопольский;372
869;д. Заводоуковск; алл. Новостройка;65
870;п. Смирных; бул. Широкий;197
871;г. Агинское (Забайк.); пер. Уральский;156
872;с. Армавир; бул. Линейный;186
873;п. Лянтор; наб. Грибоедова;121
874;г. Сунтар; наб. Дачная;240
875;к. Новомичуринск; ул. Чайковского;344
876;к. Джубга; ул. Беляева;353
877;ст. Сыктывкар; ул. Цветочная;348
878;клх Мелеуз; наб. Петровская;177
879;д. Амдерма; алл. Кузнецова;65
880;д. Калевала; пр. Курортный;191
881;п. Малгобек; пер. Тупиковый;109
882;к. Югорск; ш. Карла Маркса;144
883;с. Усинск; ш. Краснопартизанское;21
884;клх Дубна; пр. Воронежский;320
885;г. Луховицы; ш. Матросова;387
886;ст. Жуковский; ул. Карла Либкнехта;372
887;п. Саратов; ш. Ставропольское;247
888;ст. Тихвин; наб. Грибоедова;191
889;г. Сосьва (Хант.); пр. Водников;104
890;ст. Глазов; бул. Труда;250
891;д. Дзержинск; алл. Нахимова;275
892;с. Черкесск; ул. Совхозная;288
893;к. Малая Вишера; наб. Восточная;214
894;ст. Темрюк; пер. Космонавтов;5
895;клх Звенигород; бул. Покровский;381
896;к. Елабуга; алл. Снежная;102
897;с. Бреды; пр. Горького;391
898;г. Красногорск (Моск.); пр. Попова;238
899;клх Данков; бул. Революционный;233
900;ст. Россошь; пер. Береговой;319
901;клх Ирбит; ул. Виноградная;110
902;п. Великий Устюг; алл. Окружная;72
903;г. Руза; алл. Кольцова;232
904;п. Анапа; ул. Лунная;29
905;д. Мончегорск; ш. Придорожное;239
906;к. Темрюк; наб. Гражданская;275
907;клх Вологда; наб. Седова;18
908;с. Кунгур; бул. Тихий;108
909;ст. Пушкино (Моск.); ул. Депутатская;248
910;к. Соболево; ш. Белорусское;122
911;ст. Курильск; ул. Высотная;40
912;д. Кырен; наб. Славянская;224
913;к. Чермоз; алл. Окружная;330
914;с. Сызрань; ш. Строительное;149
915;п. Дудинка; наб. Дорожников;11
916;к. Быково (метеост.); ул. Семашко;318
917;д. Самара; бул. Поселковый;35
918;д. Анапа; пр. Высоцкого;74
919;с. Кижи; ул. Энергетиков;162
920;п. Аргаяш; пр. Большевистский;368
921;клх Юрюзань; наб. Орловская;339
922;п. Салехард; пр. Смоленский;87
923;г. Кисловодск; пр. Ленина;215
924;клх Партизанск; ш. Маркса;240
925;п. Тавда; ш. Автомобилистов;174
926;к. Тайшет; бул. Таманский;109
927;с. Аршан (Бурят.); ул. Тамбовская;256
928;с. Усть-Кулом; бул. Крупской;156
929;д. Стрежевой; алл. Аэродромная;228
930;к. Кузнецк; ул. Огородная;259
931;с. Кропоткин (Краснод.); наб. Восточная;261
932;ст. Семлячики; пр. Ручейный;289
933;п. Воткинск; ул. Энтузиастов;210
934;г. Яшкуль; пер. Щорса;329
935;г. Южно-Сахалинск; ш. Поселковое;319
936;д. Артем; алл. Владимирская;294
937;клх Орск; наб. Мира;4
938;д. Амурск; алл. Лазо;252
939;с. Анива; наб. Пугачева;4
940;ст. Тымовское; бул. Железнодорожный;123
941;клх Нязепетровск; алл. Космодемьянской;60
942;ст. Тура; алл. Огородная;189
943;к. Аша; бул. Железнодорожный;199
944;с. Малгобек; ш. Котовского;100
945;к. Мыс Шмидта; ш. Братское;25
946;с. Серов; бул. М.Горького;138
947;клх Токма; ул. Ключевая;10
948;г. Шали; ш. Фестивальное;202
949;ст. Крымск; пер. Репина;295
950;к. Холмск; наб. Спортивная;61
951;к. Тихорецк; ш. Проточное;89
952;с. Лодейное Поле; бул. Правды;191
953;г. Майкоп; ш. Рязанское;126
954;п. Тырныауз; наб. Курская;130
955;клх Чусовой; наб. Южная;134
956;г. Южноуральск; ш. Ростовское;94
957;ст. Северо-Курильск; бул. Поперечный;235
958;к. Анива; ш. Мельничное;391
959;к. Андреаполь; ш. Надежды;371
960;п. Волоколамск; пер. Окружной;112
961;к. Ханты-Мансийск; ул. Учительская;115
962;г. Курумкан; ул. Приморская;264
963;п. Новокузнецк; ул. Бабушкина;57
964;с. Черский; пер. Заозерный;397
965;г. Минеральные Воды; пр. Кузнецкий;375
966;ст. Орехово-Зуево; пер. Димитрова;383
967;с. Курильск; бул. Горняцкий;138
968;с. Астрахань; наб. Лазурная;230
969;с. Баксан; ш. Челюскинцев;29
970;п. Советский; ш. Отрадное;3
971;г. Ряжск; наб. Нагорная;192
972;г. Каменск-Шахтинский; ш. Снежное;215
973;ст. Северобайкальск; пр. Одесский;43
974;к. Тимашевск; ш. Шмидта;195
975;п. Воскресенск; ул. Калужская;234
976;с. Углич; наб. Прибрежная;365
977;г. Кирово-Чепецк; ул. Чернышевского;325
978;п. Тавда; алл. Майская;370
979;клх Улан-Удэ; ш. Микрорайон;80
980;п. Ирбит; алл. Луначарского;13
981;г. Выборг; наб. Автомобилистов;101
982;д. Кондопога; бул. Российский;251
983;д. Миллерово; алл. Декабристов;117
984;клх Оса; ул. Магистральная;394
985;п. Серпухов; алл. Тульская;386
986;п. Кош-Агач; пр. Советов;131
987;п. Ребриха; бул. Ильича;124
988;к. Кисловодск; пер. Вокзальный;295
989;п. Подольск; ул. Маркса;96
990;клх Медногорск; пер. Санаторный;339
991;к. Калязин; пер. Овражный;145
992;п. Тихорецк; алл. Жуковского;100
993;г. Сальск; бул. Красина;14
994;г. Калевала; пр. Розы Люксембург;62
995;клх Нижнеудинск; наб. Овражная;185
996;д. Медногорск; алл. Тургенева;287
997;к. Лабинск; ул. Леонова;5
998;с. Псебай; пр. Весенний;76
999;с. Талдом; пр. Семашко;117
1000;клх Сальск; алл. Луговая;82
